iter	Passed	Remaining
0	5	1456
1	9	1221
2	14	1208
3	20	1264
4	23	1154
5	26	1067
6	28	1001
7	33	1025
8	37	995
9	39	956
10	42	924
11	45	896
12	47	869
13	50	851
14	53	832
15	55	812
16	57	794
17	60	781
18	62	763
19	65	753
20	68	742
21	70	733
22	73	721
23	75	710
24	77	701
25	80	693
26	83	687
27	85	681
28	89	678
29	94	692
30	100	706
31	105	721
32	111	730
33	116	739
34	120	742
35	125	746
36	130	754
37	134	753
38	139	752
39	142	749
40	148	756
41	154	763
42	158	763
43	163	767
44	169	773
45	175	777
46	181	784
47	187	789
48	193	792
49	198	795
50	204	798
51	209	798
52	215	800
53	221	803
54	226	802
55	231	803
56	237	804
57	243	804
58	248	805
59	254	805
60	259	805
61	265	805
62	270	804
63	276	804
64	282	803
65	288	803
66	293	802
67	299	802
68	305	801
69	311	801
70	317	800
71	322	797
72	328	796
73	334	795
74	339	793
75	345	791
76	353	793
77	358	790
78	364	788
79	370	786
80	375	783
81	381	781
82	386	778
83	392	775
84	397	772
85	403	769
86	409	766
87	414	763
88	420	759
89	425	756
90	431	753
91	436	750
92	442	746
93	448	743
94	451	736
95	456	733
96	462	729
97	468	725
98	473	722
99	479	718
100	485	715
101	491	713
102	497	709
103	502	705
104	508	702
105	513	698
106	519	694
107	525	690
108	530	686
109	536	682
110	541	678
111	547	674
112	553	671
113	559	666
114	564	663
115	570	659
116	576	655
117	581	651
118	587	647
119	593	642
120	598	638
121	604	633
122	609	629
123	615	625
124	620	620
125	626	616
126	632	612
127	638	608
128	643	603
129	649	599
130	655	595
131	660	590
132	666	586
133	672	582
134	678	578
135	701	588
136	707	583
137	713	579
138	719	574
139	725	569
140	731	565
141	737	561
142	743	556
143	748	550
144	753	545
145	760	541
146	765	536
147	770	531
148	775	525
149	780	520
150	785	515
151	790	509
152	794	503
153	800	499
154	806	494
155	811	489
156	817	484
157	821	478
158	825	472
159	828	466
160	833	460
161	836	454
162	839	447
163	841	441
164	845	435
165	848	429
166	851	422
167	853	416
168	856	410
169	859	404
170	861	397
171	864	392
172	866	385
173	869	379
174	873	374
175	876	368
176	879	362
177	882	357
178	888	352
179	894	347
180	897	342
181	900	336
182	905	331
183	909	326
184	913	321
185	917	315
186	923	311
187	928	306
188	933	301
189	938	296
190	943	291
191	948	286
192	954	281
193	959	276
194	967	272
195	971	267
196	976	262
197	980	257
198	983	252
199	987	246
200	990	241
201	994	236
202	998	231
203	1001	225
204	1004	220
205	1008	215
206	1011	210
207	1015	205
208	1019	199
209	1022	194
210	1025	189
211	1029	184
212	1032	179
213	1035	174
214	1038	169
215	1041	163
216	1044	158
217	1047	153
218	1051	148
219	1054	143
220	1057	138
221	1061	133
222	1064	128
223	1066	123
224	1069	118
225	1072	113
226	1075	108
227	1077	103
228	1081	99
229	1085	94
230	1088	89
231	1091	84
232	1095	79
233	1100	75
234	1104	70
235	1109	65
236	1114	61
237	1117	56
238	1122	51
239	1127	46
240	1131	42
241	1136	37
242	1142	32
243	1146	28
244	1151	23
245	1156	18
246	1161	14
247	1165	9
248	1170	4
249	1175	0
